old_file path,new_file path,commit SHA,parent commit SHA,new_file_MCC,test_name,test_id,issue_severity,issue_confidence,line_number,col_offset,end_col_offset,line_range,issue_cwe
README.md,README.md,1e85f5e48571923bb8dcd417294a16898ab96b39,a5fc2953c61ebfd6c4b0b025abbe3890edbc5a3f,,,,,,,,,,
LICENSE-3RD-PARTY.txt,LICENSE-3RD-PARTY.txt,3137b3e570d2b78e16a2c2def094d125b16dadbd,bb77a8a8f763a1ac7f12a7262397375e835a8ca5,,,,,,,,,,
README.md,README.md,3137b3e570d2b78e16a2c2def094d125b16dadbd,bb77a8a8f763a1ac7f12a7262397375e835a8ca5,,,,,,,,,,
.travis.yml,.travis.yml,9c8ebecac062befd1472fbc730296ac145e6c1fa,3137b3e570d2b78e16a2c2def094d125b16dadbd,,,,,,,,,,
README.md,README.md,9c8ebecac062befd1472fbc730296ac145e6c1fa,3137b3e570d2b78e16a2c2def094d125b16dadbd,,,,,,,,,,
travis_config.sh,travis_config.sh,9c8ebecac062befd1472fbc730296ac145e6c1fa,3137b3e570d2b78e16a2c2def094d125b16dadbd,,,,,,,,,,
.travis.yml,.travis.yml,b023344cf6c64fe50d840c2c9b36cb1608e073ac,9c8ebecac062befd1472fbc730296ac145e6c1fa,,,,,,,,,,
README.md,README.md,e83bc139980262fcb09158a88597a66324ee447a,f33e65ddfc206d9169136b99d972f3014ee1afdc,,,,,,,,,,
.travis.yml,.travis.yml,7d1e48ca7bcf651c7ddc13d30a452e14d06db0dc,b023344cf6c64fe50d840c2c9b36cb1608e073ac,,,,,,,,,,
setup.py,setup.py,fed2178dfc28dfb034e8111579293affb77b2cf1,0279efb77ac47733d196a40605e3f8b45a5db731,61,blacklist,B404,LOW,HIGH,6,0,17,[6],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,fed2178dfc28dfb034e8111579293affb77b2cf1,0279efb77ac47733d196a40605e3f8b45a5db731,61,start_process_with_partial_path,B607,LOW,HIGH,167,8,77,[167],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,fed2178dfc28dfb034e8111579293affb77b2cf1,0279efb77ac47733d196a40605e3f8b45a5db731,61,subprocess_popen_with_shell_equals_true,B602,LOW,HIGH,167,8,77,[167],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,fed2178dfc28dfb034e8111579293affb77b2cf1,0279efb77ac47733d196a40605e3f8b45a5db731,61,start_process_with_partial_path,B607,LOW,HIGH,178,12,83,[178],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,fed2178dfc28dfb034e8111579293affb77b2cf1,0279efb77ac47733d196a40605e3f8b45a5db731,61,subprocess_popen_with_shell_equals_true,B602,LOW,HIGH,178,12,83,[178],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,fed2178dfc28dfb034e8111579293affb77b2cf1,0279efb77ac47733d196a40605e3f8b45a5db731,61,assert_used,B101,LOW,HIGH,282,8,74,[282],https://cwe.mitre.org/data/definitions/703.html
setup.py,setup.py,fed2178dfc28dfb034e8111579293affb77b2cf1,0279efb77ac47733d196a40605e3f8b45a5db731,61,exec_used,B102,MEDIUM,HIGH,427,8,32,[427],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,fed2178dfc28dfb034e8111579293affb77b2cf1,0279efb77ac47733d196a40605e3f8b45a5db731,61,try_except_pass,B110,LOW,HIGH,437,4,12,"[437, 438]",https://cwe.mitre.org/data/definitions/703.html
setup.py,setup.py,fed2178dfc28dfb034e8111579293affb77b2cf1,0279efb77ac47733d196a40605e3f8b45a5db731,61,try_except_pass,B110,LOW,HIGH,443,8,16,"[443, 444]",https://cwe.mitre.org/data/definitions/703.html
cv2/__init__.py,cv2/__init__.py,fd4e6040af94d9db3da25874132ca092b4c9e3a1,5f56caf2c33cca711ae5c361b78a684990f85aac,0,try_except_pass,B110,LOW,HIGH,18,0,8,"[18, 19]",https://cwe.mitre.org/data/definitions/703.html
setup.py,setup.py,fd4e6040af94d9db3da25874132ca092b4c9e3a1,5f56caf2c33cca711ae5c361b78a684990f85aac,60,blacklist,B404,LOW,HIGH,6,0,17,[6],https://cwe.mitre.org/data/definitions/78.html
